Key,Value
Select a Card,카드를 선택하세요
New creature tamed,새 크리처를 길들였습니다!
Victory Title,승리!
Tamed list title,길들인 크리처:
No new tames title,- 새로 길들인 크리처 없음 -
Defeat Title,크리처가 모두 쓰러졌습니다...
Resume,계속하기
Abandon Run,탐사 포기
Save and Exit,저장 후 나가기
General,일반
Video,화면
Language,언어
Window Mode,창 모드
Resolution,해상도
VSync,수직 동기화
Yes,예
No,아니요
A lapse in judgement,판단 착오
Lapse in judgement content,"모든 크리처의 기술을 선택하지 않았습니다.

그래도 계속하시겠습니까?"
...No,...아니요
Play Title Screen Button,플레이
Exit,종료
Credits,제작진
Kill,처치
Cancel,취소
Warning,경고
Settings,설정
New Run Warning,이미 진행 중인 탐사가 있습니다. 정말 포기하시겠습니까?
Abandon Run Warning,정말 이번 탐사를 포기하시겠습니까?
Delete Save Warning,저장 데이터를 완전히 삭제하시겠습니까?
Delete Save,저장 데이터 삭제
End Turn,<color=#4c4a59>턴 종료
End Turn Background Text,<color=#b5b3c9>턴 종료
Choose an Essence,보관할 에센스를 선택하세요
Confirm,확인
Ok,확인
Information,정보
Ability already present,이 크리처는 이미 이 능력을 가지고 있습니다...
Auto Skip Turns,공격 단계 진행 방식
Upcoming Enemies,다가오는 적
Talent Dialogue box,{owner_name}의 {talent_name}
Audio,오디오
Main Volume,전체 음량
The End Title,끝
End Stats,"목표를 달성했습니다(아닐 수도 있습니다).

시간: {run_duration}"
Demo Finished Title,데모를 플레이해 주셔서 감사합니다!
Demo Finished Message,"데모를 재미있게 즐기셨기를 바랍니다! 더 플레이하고 싶다면 정식 버전도 확인해 보세요.

Decktamer를 찜 목록에 추가하는 것도 잊지 마세요!"
Demo Finished Message 2,Decktamer Discord 서버에 참여하시겠습니까?
Newly Tamed Creatures,새로 길들인 크리처
Draw Pile,뽑을 카드 더미
Discard Pile,버린 카드 더미
Spoils!,전리품!
Wishlist Now,지금 찜하기!
Music Volume,음악
Sounds Volume,효과음
Save and Exit Warning Title,정말 종료하시겠습니까?
Save and Exit Warning,이번 전투의 진행 상황은 저장되지 않습니다.
Dynamic Camera,동적 카메라
Undo Title,<size=200%>이전 턴 종료 시점으로 돌아가시겠습니까?
Undo Message,"실수했다면 턴을 종료하기 직전으로 돌아갈 수 있습니다.

시간의 시계는 이번 전투에서 {amount}회 더 사용할 수 있습니다."
Exit Popup Title,플레이해 주셔서 감사합니다
Exit Popup Content,데모가 마음에 드셨나요? 지금 게임을 찜하세요!
Exit Popup Discord,Discord 참여
Exit Popup Wishlist,지금 찜하기!
Exit Popup No Thanks,괜찮습니다
Undo Text,<color=#FFFFFF>되돌리기
Danger Level,위험도
Mutations,돌연변이
danger level 1,경미
danger level 2,보통
danger level 3,치명적
danger level 4,상상 불가
danger level 5,터무니없음
danger level 0,무해
danger level 6,황당무계
health mutation,체력 +{value}
speed mutation,속도 +{value}
difficulty 0 description,"- 크리처가 특성을 가질 확률 감소
- 되돌리기 무제한
- 전투 후 크리처 HP 2 회복
- 전투 보상: 매우 좋음
- 주사기 피해 없음
- 시작 아이템: 주사기 3개, 먹이 3개, 약초 2개"
difficulty 1 description,"- 전투당 되돌리기 4회
- 전투 후 크리처 HP 1 회복
- 전투 보상: 좋음
- 주사기 피해 없음
- 시작 아이템: 주사기 3개, 먹이 3개, 약초 1개"
difficulty 2 description,"- 전투당 되돌리기 2회
- 전투 보상: 보통
- 추출할 때만 주사기 피해 발생
- 시작 아이템: 주사기 3개, 먹이 3개"
