Key,Value
Alpino Bestiary,"심연의 크리처 가운데 {alpino_name}의 생존 전략은 특히 독창적이다.

포식자를 피하려고 가파른 절벽을 오르지만, 거대한 새를 상대로도 효과가 있을지는 모르겠다.

딱딱하게 굳은 눈은 절벽을 오를 때 떨어지는 파편으로부터 보호해 주는 듯하다."
Beaver Monkey Bestiary,"{beaver_monkey_name}의 턱이 왜 그렇게 발달했는지 처음 알아냈을 때는 정말 놀라웠다.

녀석은 턱으로 나뭇가지를 갉아 아래에서 도사리는 큰 동물 위로 떨어뜨린다. 자신은 높은 나무 위에서 안전하게 머문다. 제법 영리하다!"
Boulder Crab Bestiary,"처음에는 이 작은 갑각류의 바위 껍질이 주로 방어를 위해 진화했다고 생각했다.

그러나 언덕 아래로 굴러오는 {boulder_crab_name} 무리에게 깔릴 뻔한 뒤 곧바로 생각을 고쳤다."
Dropbat Bestiary,"이 작은 포유류를 통해 배운 것이 있다면 동굴 통로에서는 언제나 머리 위를 확인해야 한다는 점이다.

{dropbat_name}은(는) 동굴 천장에 매달려 있다가 방심한 행인 위로 떨어진다. 살에 송곳니를 깊숙이 박고 피를 빨아먹는다. 무섭다!"
Maskol Bestiary,"{maskol_name}은(는) 얕은 곳의 다른 크리처와 비교하면 어딘가 어울리지 않는다.

햇빛을 싫어하는 것으로 보아 원래 더 깊은 지층에서 살다가 덜 적대적인 환경에서 번성하기 위해 지표 부근으로 올라온 듯하다."
Monomono Bestiary,"이 원숭이는 주로 생물 발광 버섯을 먹는다. 그 때문에... 배설물이 밝은 파란빛을 낸다. 포식자에게 이것을 던져 동료들이 알아보고 피할 수 있도록 표식을 남긴다.

역겹기는 하지만 효과적인 생존 전략이라는 점은 인정해야겠다."
Feather Mole Bestiary,"왜 이 두더짓과 동물에게 그렇게 화려한 깃털이 생겼는지 이해하기 어렵다.

포유류가 아니라 조류의 후손이기 때문일지도 모른다.

일부 개체가 있어야 할 곳보다 더 깊이 내려가는 모습도 관찰했다.

어쨌든 결론을 내리려면 더 연구해야 한다."
Oviparis Bestiary,"심연에서 새가 번성한다고 해도 {oviparis_name}에게 둥지가 통째로 먹힐 위험을 무시할 수는 없다.

이 작은 녀석은 어설퍼 보이지만 거의 수직인 절벽도 평지처럼 걸어 다닌다.

갓 훔친 알이 주머니에 가득 들어찬 모습은 특히 장관이다."
Grimjaw Entry,"이 표본에 대해서는 아는 것이 많지 않다. 길들인 개체조차 믿을 수 없어 오래 관찰하지 않기 때문이다. 다른 크리처들도 나와 같은 경계심을 보이는 듯하다.

한 가지 확인한 점은 자기 보존 본능이 거의 없어 보인다는 것이다. 군집 의식을 공유하는 생물의 일부일지도 모른다. 으스스하다."
Buffalion Entry,"심연의 크리처는 대부분 놀랄 만큼 영리하지만 {buffalion_name}에게는 해당하지 않는다. 바위를 먹이로 착각하는 모습을 여러 번 봤다.

저토록 인상적인 가시를 갖췄다면 살아남는 데 큰 지능이 필요하지 않을 수도 있다.

대체 무엇으로부터 자신을 지키려고 생긴 걸까..."
Parapandion Entry,"{parapandion_name}의 마비성 괴성은 수 킬로미터 밖에서도 들린다. 특히 녀석이 사는 좁은 절벽에서는 더욱 그렇다.

서식지의 지형으로 울음소리를 메아리치게 해 도달 거리를 늘리는 듯하다.

다만 두개골이 왜 그런 형태인지는 설명할 방법이 없다."
Draconyl Entry,"위풍당당한 {draconyl_name}은(는) 대부분의 새보다 우아하게 날지만, '날개'의 형태는 비행보다 수영에 더 알맞아 보인다.

여러 {draconyl_name} 무리를 관찰한 결과 상승 기류를 타고 미끄러지듯 난다는 결론을 내렸다. 거의 초자연적인 직감이 필요할 것이다.

터무니없게 들리겠지만 어떤 방식으로든 바람에 영향을 준다고 확신한다."
Tuba Bear Entry,"{tuba_bear_name}의 피부에는 조류가 잘 자라 물에 잠겼을 때 위장 역할을 한다. 물론 튜바처럼 생긴 코 때문에 금방 들키지만 말이다.

조류가 무성한 개체일수록 눈에 띄게 건강하다. 이 식물들이 면역 체계나 호르몬 건강에도 관여하는 듯하다."
Agaric Frog Entry,"이 독개구리의 외눈으로는 거리감을 인지할 수 없다.

작은 곤충을 능숙하게 사냥하는 모습을 보고 처음에는 의아했다.

알고 보니 커다란 귀가 지각에 중요한 역할을 한다. 미세한 공기의 흐름을 감지해 먹잇감의 비행 경로를 예측하는지도 모른다."
Stingslug Entry,"신경독과 세포독, 근육독을 여럿 알고 있지만 이 평범해 보이는 민달팽이의 물질과 비교할 만한 것은 없다.

화학적으로는 독소보다 초강산에 가까우며, 한 번의 분비량만으로도 큰 포유류를 몇 초 만에 말 그대로 <u>녹여 버릴</u> 수 있다.

민달팽이의 작은 크기를 생각하면 우스울 지경이다."
