Key,Value
Mimilang Bestiary,"공격적으로 먹이를 구하는 크리처도 있지만 {mimilang_name}처럼 영리한 방법을 쓰는 종도 있다.

배고픈 초식 동물을 혀로 유인해 근육 하나 움직이지 않고도 배불리 먹을 수 있다!

혀가 워낙 그럴듯해 나조차 과일인 줄 알고 집으려 한 적이 있다."
Hollow Ape Bestiary,"위압적인 외형과 달리 이 온순한 거인은 수동적이고 다가가기 쉽다.

몸의 구멍에 새가 둥지를 틀어도 개의치 않는 개체까지 만났다.

그러고 보니 거대한 구멍이 저렇게 많은 공간을 차지하는데 내장은 어떻게 배치되어 있을까..."
Heat Tiger Bestiary,"{heat_tiger_name}은(는) 지금까지 만난 고양잇과 동물 중 가장 기묘하다.

체온이 너무 높아 체내 압력을 낮추려고 모공에서 주기적으로 증기를 방출해야 한다.

다행히 증기의 양이 많아 멀리서도 {heat_tiger_name} 무리를 쉽게 발견할 수 있다."
Naked Worm Newt Bestiary,"거의 심연의 늪에서만 사는 {newt_name}은(는) 작은 물고기를 주로 먹는 소형 양서류다.

흥미로운 점은 여러 꼬리가 각자의 정신을 가진 듯 먹이를 두고 자주 다툰다는 것이다.

그 결과 경련하듯 미친 듯 움직이는 무시무시한 광경이 펼쳐져 포식자와 인간 모두를 위협한다."
Pillar Pole Bestiary,"이 기묘한 크리처는 다리라고 불러도 될지 모를 구조물로 만든 돔 안에서 산다.

대결을 좋아하지 않아 위험의 기미만 보여도 겁쟁이처럼 요새 안으로 숨는다.

하지만 작은 위협이 안으로 침입하면 치명적인 결말을 맞는다. {pole_name}에게는 비상 방어 수단인 독침이 있기 때문이다."
Trench Crawler Bestiary,"이 인간형 괴물에게는 제대로 된 얼굴 대신 구멍 뚫린 구체 같은 것이 있다. 반향정위에 쓰는 기관이라고 추측할 뿐이다.

더 불안한 것은 행동 방식이다. 먹잇감의 사지를 사납게 절단해 묻어 두고 며칠 뒤 돌아와 썩은 살을 먹는다.

무섭지만 매혹적이다..."
Trypognath Bestiary,"{trypognath_name}은(는) 심연에서 본 크리처 가운데 손꼽히게 역겹다.

스펀지 같은 몸으로 방심한 먹잇감의 수분을 완전히 빨아들여 말라붙은 시체만 남긴다.

희생자의 체액이 모공에서 흘러나오는 모습과 냄새까지 확인할 수 있다..."
Abyss Lotus Bestiary,"이상하게도 심연의 일부 식물은 동물만큼 빠르게 움직이고 반응한다...

{lotus_name}도 그러하며 치유 효과 덕분에 특히 유용하다.

자연적인 생물 발광으로 밤에는 이루 말할 수 없이 아름답다."
Silver Horet Bestiary,"자연 서식지에서 {hornet_name}은(는) 높은 나무 위에 지은 둥지 곁을 떠나지 않는다.

지상의 벌목 곤충과 달리 사회성이 그리 높지 않으며 혼자 사냥하는 것을 선호한다.

독침의 고통도 훨씬 심하다. 정말, 훨씬 심하다..."
Ducknuk Bestiary,"
{ducknuk_name}은(는) 긴 목을 먹잇감에게 사납게 감아 뱀처럼 질식시킬 수 있는 매우 공격적인 날지 못하는 새다.

아래쪽 눈을 잃은 개체를 관찰하자 낮에는 방향 감각을 잃었지만 밤에는 정상이었다.

각 눈 한 쌍이 서로 다른 밝기에서 보는 역할을 한다는 결론을 내렸다."
Nightwalker Bestiary,"멀리서 불규칙하게 우르릉거리는 소리가 들린다면 {nightwalker_name} 무리가 지나가는 것일 가능성이 높다.

가만히 있지 못하기 때문에, 심지어 잠들어서도 움직이기 때문에 길들이기가 대단히 어렵다. 외모도 몹시 섬뜩하다...

빛나는 길을 따라가고 싶더라도 조심해야 한다. 뒤쪽 촉수는 너무 가까이 다가온 침입자를 꿰뚫을 수 있다."
Walrus Fish Bestiary,"농어의 먼 친척처럼 보이는 작은 물고기로, 가장 큰 차이는 엄니다.

처음에는 포식자에게서 자신을 지키는 데 쓴다고 생각했지만 {walrus_fish_name}은(는) 위험하면 달아나는 편을 선호한다.

별개의 이야기지만 먹어도 안전할 뿐 아니라 맛도 좋다."
Peacarp Bestiary,"{peacarp_name}은(는) 심연 외곽의 차가운 물에 사는 작은 물고기다.

위협을 받으면 머리의 막을 펼쳐 위협용 눈무늬를 드러내고 포식자의 방향 감각을 흐리거나 겁을 줘 쫓아낸다."
Waterwary Bestiary,"심연의 민물 수원은 언제나 생명으로 가득하다... 위험도 마찬가지다.

그래서 {waterwary_name}은(는) 포식자가 없을 때만 수원으로 달려간다.

그 뒤 그릇처럼 생긴 머리로 귀중한 물을 둥지까지 안전하게 운반한다. 영리하다!"
