Key,Value
Mimilang Habitat,과일나무 근처
Grassy Field Habitat,풀밭
Heat Tiger Habitat,온천
Swamp Habitat,늪
Pillar Pole Habitat,수원 주변
Trench Crawler Habitat,해구와 울퉁불퉁한 지형
Caverns Habitat,대형 동굴
Lakes Habitat,호수
Hornet Habitat,나무와 절벽
Ducknuk Habitat,초원
Nightwalker Habitat,심야대
Cold Waters Habitat,차가운 물
Waterwary Habitat,수원에서 먼 곳
Silk Beetle Habitat,울창한 숲
Shinytrail Shark Habitat,깊은 호수
Irontail Salamader Habitat,햇빛이 바로 내리쬐는 지역
Swordbird Habitat,수원 위쪽
Kerabeetle Habitat,동굴 벽
Shroomzard Habitat,정글과 숲
Cliffs Habitat,절벽
Scaly Dragon Habitat,바위투성이 길
Tricaudal Hyena Habitat,더 깊은 지층
Lightbringer Habitat,확실히 알 수 없음
Insufficient Data Habitat,자료 부족
Swamp Beast Habitat,짐작한 그대로
Lake Bed Habitat,호수 바닥
Elk Habitat,한랭 지대
Lumi Habitat,꽃과 연못
Bell Rat Habitat,작은 언덕
Trees Habitat,나무
Cervibois Habitat,'달빛 숲'
Nostroptere Habitat,빽빽한 심연의 정글
Carnitrap Habitat,습한 정글의 지면
Thousand-Year Deer Habitat,미확정
Tadwhale Habitat,심층에서 하늘로
Shadow Moth Habitat,가장 깊은 절벽
Chasms and Trenches Habitat,심연의 협곡과 해구
Starter Chicken Habitat,외곽의 건조 지대
Dark Forests Habitat,어두운 숲
Titanoros Habitat,건조한 평원
Tusked Gecko Habitat,바위와 가파른 지면
Candy Ram Habitat,햇볕 드는 초원
Gazebud Habitat,초목이 빽빽한 구역
Arid Regions Habitat,건조 지대
Fast Flowing Rivers Habitat,급류
Rhino Habitat,'폭풍의 사막'
Varied Habitat,다양함
Underground Waterfalls Habitat,지하 폭포
Foggy Cliffs Habitat,안개 낀 절벽
Chompillar Habitat,'초록 협곡'
Detritus Sweeper Habitat,지하 호숫가
Ouroboros Eel Habitat,'영원의 밤 해구'
Stone Larva Habitat,바위와 암석 내부
Giant Cave Complexes Habitat,거대 동굴 지대
Deep Swamps Habitat,깊은 늪
Shaded Areas Habitat,그늘진 지역
