Key,Value
Empty Vessel Pt1,오늘 발견한 것은 기적이라고밖에 달리 표현할 수 없다.
Hunting Grounds Pt1,언제부터인가 허기가 느껴지기 시작했다...
Rest Site Heal,휴식을 취하고 나니 크리처들의 상태가 조금 나아졌다!
Hunting Grounds Pt2,"평범한 먹이를 채집할 수도 있지만, 운을 시험해 질 좋은 먹잇감을 사냥할 수도 있다."
Battle Event Pt 1,기압계에 따르면 현재 깊이는 <u>{depth} m</u>...
Battle Event Pt 2,"예상대로 아래쪽에 도사린 짐승들의 소리가 들린다.

두려워 미칠 것 같지만, 달리 선택지가 없다..."
Date,{date}일째
Rest Pt1,훌륭한 휴식처를 발견했다.
Rest Pt2,아늑하고 안전한 이 작은 공간에서 크리처들은 무척 편안해했다.
Rest Pt3,야영지를 마련하고 나서야 마침내...
Mushroom Pt1,내려가던 중 수수께끼의 버섯들을 발견했다.
Mushroom Pt2,크리처들은 당장이라도 먹고 싶은 눈치였다.
Mushroom Pt3,나는...
Mushroom Warning,"{creature}의 HP와 속도를 높이시겠습니까? (HP +{health}, 속도 +{speed})"
Random Essence Pt1,오늘 돌무더기 아래 묻힌 작은 상자를 발견했다.
Random Essence Pt2,언젠가 누군가 이곳에 있었다는 사실이 영 마음에 걸린다...
Random Essence Pt3,어쨌든 상자 안에는 수수께끼의 주사기가 들어 있었다. 안에서 어떤 힘이 흘러나오는 듯했다.
Random Essence Pt4,나는 곧...
Tuto A Pt1,오늘은 심연 외곽에서 훈련하기로 했다.
Tuto A Pt2,다가올 원정에서 살아남으려면 싸우는 법을 배워야 한다.
Tuto A Pt3,"뭐, 결국 해야 할 일은..."
Tuto B Pt1,미지의 심연에 뛰어들었던 과거의 모든 바보들과 달리...
Tuto B Pt2,나는 심연에서 <u>살아서</u> 돌아오고 싶다.
Tuto B Pt3,그래서 계속해서 다음 훈련을 이어 갔다...
Tuto C Pt1,"기본은 익힌 것 같지만, 이 크리처들에게 조금 더 익숙해져야 한다."
Tuto C Pt2,더 깊이 내려가면 미지의 표본을 더 많이 관찰할 수 있겠지. 하지만 지금은 지상에 조금 더 머물겠다.
Tuto C Pt3,또 한 마리가 다가온다. 이제...
Tuto End Pt1,이 정도면 훈련은 끝난 것 같다.
Tuto End Pt2,거대한 분화구 가장자리에 서니 한 가지 질문만 계속 머릿속을 맴돈다...
Tuto End Pt3,나는 죽게 될까?
Tuto End Pt4,"독자여, 지금부터 이 일지에서 읽게 될 내용은 내 모험의 시작부터 마지막 순간까지를 기록한 연대기다..."
Tuto D Pt1,다음 훈련은 탁 트인 들판에서 여러 크리처를 한꺼번에 상대해 봐야겠다.
Tuto D Pt2,심연 깊이 내려갈수록 동시에 상대해야 하는 크리처가 많아진다고 들었다.
Tuto D Pt3,이번 원정을 생각하면 불안하기 짝이 없다. 그래도 해야 할 일은...
